"readterm","readcode"
"Insulin dependent diab mell with neuropathic arthropathy","C108J00"
"Type I diabetes mellitus with neuropathic arthropathy","C108J11"
"Type 1 diabetes mellitus with neuropathic arthropathy","C108J12"
"Maturity onset diabetes in youth type 1","C10C.12"
"Type 1 diabetes mellitus","C10E.00"
"Type I diabetes mellitus","C10E.11"
"Insulin dependent diabetes mellitus","C10E.12"
"Type 1 diabetes mellitus with renal complications","C10E000"
"Type 1 diabetes mellitus with ophthalmic complications","C10E100"
"Insulin-dependent diabetes mellitus with ophthalmic comps","C10E112"
"Type 1 diabetes mellitus with neurological complications","C10E200"
"Type 1 diabetes mellitus with multiple complications","C10E300"
"Type I diabetes mellitus with multiple complications","C10E311"
"Insulin dependent diabetes mellitus with multiple complicat","C10E312"
"Unstable type 1 diabetes mellitus","C10E400"
"Unstable type I diabetes mellitus","C10E411"
"Unstable insulin dependent diabetes mellitus","C10E412"
"Type 1 diabetes mellitus with ulcer","C10E500"
"Type I diabetes mellitus with ulcer","C10E511"
"Insulin dependent diabetes mellitus with ulcer","C10E512"
"Type 1 diabetes mellitus with gangrene","C10E600"
"Type 1 diabetes mellitus with retinopathy","C10E700"
"Type I diabetes mellitus with retinopathy","C10E711"
"Insulin dependent diabetes mellitus with retinopathy","C10E712"
"Type 1 diabetes mellitus - poor control","C10E800"
"Insulin dependent diabetes mellitus - poor control","C10E812"
"Type 1 diabetes mellitus maturity onset","C10E900"
"Type I diabetes mellitus maturity onset","C10E911"
"Insulin dependent diabetes maturity onset","C10E912"
"Type 1 diabetes mellitus without complication","C10EA00"
"Type I diabetes mellitus without complication","C10EA11"
"Type 1 diabetes mellitus with mononeuropathy","C10EB00"
"Type 1 diabetes mellitus with polyneuropathy","C10EC00"
"Type I diabetes mellitus with polyneuropathy","C10EC11"
"Type 1 diabetes mellitus with nephropathy","C10ED00"
"Type 1 diabetes mellitus with hypoglycaemic coma","C10EE00"
"Type 1 diabetes mellitus with diabetic cataract","C10EF00"
"Type 1 diabetes mellitus with peripheral angiopathy","C10EG00"
"Type 1 diabetes mellitus with arthropathy","C10EH00"
"Type 1 diabetes mellitus with neuropathic arthropathy","C10EJ00"
"Type 1 diabetes mellitus with persistent proteinuria","C10EK00"
"Type 1 diabetes mellitus with persistent microalbuminuria","C10EL00"
"Type 1 diabetes mellitus with ketoacidosis","C10EM00"
"Type I diabetes mellitus with ketoacidosis","C10EM11"
"Type 1 diabetes mellitus with ketoacidotic coma","C10EN00"
"Type I diabetes mellitus with ketoacidotic coma","C10EN11"
"Type 1 diabetes mellitus with exudative maculopathy","C10EP00"
"Type I diabetes mellitus with exudative maculopathy","C10EP11"
"Type 1 diabetes mellitus with gastroparesis","C10EQ00"
"Diabetes mellitus, juvenile type, + unspecified complication","C10z000"
"Pre-existing diabetes mellitus, insulin-dependent","L180500"
"Insulin lipohypertrophy","M21yC00"
"Insulin site lipohypertrophy","M21yC11"
"Dietary advice for type I diabetes","ZC2C900"
"Perceived control of insulin-dependent diabetes","ZRbH.00"
"Diabetes type 2 review","66Ao.00"
"Diabetes mellitus, adult onset, no mention of complication","C100100"
"Maturity onset diabetes","C100111"
"Non-insulin dependent diabetes mellitus","C100112"
"Diabetes mellitus, adult onset, with ketoacidosis","C101100"
"Diabetes mellitus, adult onset, with hyperosmolar coma","C102100"
"Diabetes mellitus, adult onset, with ketoacidotic coma","C103100"
"Diabetes mellitus, adult onset, with renal manifestation","C104100"
"Diabetes mellitus, adult onset, + ophthalmic manifestation","C105100"
"Diabetes mellitus, adult onset, + neurological manifestation","C106100"
"Diabetes mellitus, adult, + peripheral circulatory disorder","C107100"
"Diabetes mellitus, adult with gangrene","C107200"
"NIDDM with peripheral circulatory disorder","C107400"
"Non-insulin dependent diabetes mellitus","C109.00"
"NIDDM - Non-insulin dependent diabetes mellitus","C109.11"
"Type 2 diabetes mellitus","C109.12"
"Type II diabetes mellitus","C109.13"
"Non-insulin-dependent diabetes mellitus with renal comps","C109000"
"Type II diabetes mellitus with renal complications","C109011"
"Type 2 diabetes mellitus with renal complications","C109012"
"Non-insulin-dependent diabetes mellitus with ophthalm comps","C109100"
"Type II diabetes mellitus with ophthalmic complications","C109111"
"Type 2 diabetes mellitus with ophthalmic complications","C109112"
"Non-insulin-dependent diabetes mellitus with neuro comps","C109200"
"Type II diabetes mellitus with neurological complications","C109211"
"Type 2 diabetes mellitus with neurological complications","C109212"
"Non-insulin-dependent diabetes mellitus with multiple comps","C109300"
"Non-insulin dependent diabetes mellitus with ulcer","C109400"
"Type II diabetes mellitus with ulcer","C109411"
"Type 2 diabetes mellitus with ulcer","C109412"
"Non-insulin dependent diabetes mellitus with gangrene","C109500"
"Type II diabetes mellitus with gangrene","C109511"
"Type 2 diabetes mellitus with gangrene","C109512"
"Non-insulin-dependent diabetes mellitus with retinopathy","C109600"
"Type II diabetes mellitus with retinopathy","C109611"
"Type 2 diabetes mellitus with retinopathy","C109612"
"Non-insulin dependant diabetes mellitus - poor control","C109700"
"Type II diabetes mellitus - poor control","C109711"
"Type 2 diabetes mellitus - poor control","C109712"
"Non-insulin-dependent diabetes mellitus without complication","C109900"
"Non-insulin dependent diabetes mellitus with mononeuropathy","C109A00"
"Type II diabetes mellitus with mononeuropathy","C109A11"
"Non-insulin dependent diabetes mellitus with polyneuropathy","C109B00"
"Type II diabetes mellitus with polyneuropathy","C109B11"
"Non-insulin dependent diabetes mellitus with nephropathy","C109C00"
"Type II diabetes mellitus with nephropathy","C109C11"
"Type 2 diabetes mellitus with nephropathy","C109C12"
"Non-insulin dependent diabetes mellitus with hypoglyca coma","C109D00"
"Type II diabetes mellitus with hypoglycaemic coma","C109D11"
"Type 2 diabetes mellitus with hypoglycaemic coma","C109D12"
"Non-insulin depend diabetes mellitus with diabetic cataract","C109E00"
"Type II diabetes mellitus with diabetic cataract","C109E11"
"Type 2 diabetes mellitus with diabetic cataract","C109E12"
"Non-insulin-dependent d m with peripheral angiopath","C109F00"
"Type II diabetes mellitus with peripheral angiopathy","C109F11"
"Type 2 diabetes mellitus with peripheral angiopathy","C109F12"
"Non-insulin dependent diabetes mellitus with arthropathy","C109G00"
"Type II diabetes mellitus with arthropathy","C109G11"
"Type 2 diabetes mellitus with arthropathy","C109G12"
"Non-insulin dependent d m with neuropathic arthropathy","C109H00"
"Type II diabetes mellitus with neuropathic arthropathy","C109H11"
"Type 2 diabetes mellitus with neuropathic arthropathy","C109H12"
"Insulin treated Type 2 diabetes mellitus","C109J00"
"Insulin treated non-insulin dependent diabetes mellitus","C109J11"
"Insulin treated Type II diabetes mellitus","C109J12"
"Hyperosmolar non-ketotic state in type 2 diabetes mellitus","C109K00"
"Maturity onset diabetes in youth","C10C.11"
"Diabetes mellitus autosomal dominant type 2","C10D.00"
"Maturity onset diabetes in youth type 2","C10D.11"
"Latent autoimmune diabetes mellitus in adult","C10ER00"
"Type 2 diabetes mellitus","C10F.00"
"Type II diabetes mellitus","C10F.11"
"Type 2 diabetes mellitus with renal complications","C10F000"
"Type II diabetes mellitus with renal complications","C10F011"
"Type 2 diabetes mellitus with ophthalmic complications","C10F100"
"Type 2 diabetes mellitus with neurological complications","C10F200"
"Type II diabetes mellitus with neurological complications","C10F211"
"Type 2 diabetes mellitus with multiple complications","C10F300"
"Type II diabetes mellitus with multiple complications","C10F311"
"Type 2 diabetes mellitus with ulcer","C10F400"
"Type II diabetes mellitus with ulcer","C10F411"
"Type 2 diabetes mellitus with gangrene","C10F500"
"Type 2 diabetes mellitus with retinopathy","C10F600"
"Type II diabetes mellitus with retinopathy","C10F611"
"Type 2 diabetes mellitus - poor control","C10F700"
"Type II diabetes mellitus - poor control","C10F711"
"Type 2 diabetes mellitus without complication","C10F900"
"Type II diabetes mellitus without complication","C10F911"
"Type 2 diabetes mellitus with mononeuropathy","C10FA00"
"Type II diabetes mellitus with mononeuropathy","C10FA11"
"Type 2 diabetes mellitus with polyneuropathy","C10FB00"
"Type II diabetes mellitus with polyneuropathy","C10FB11"
"Type 2 diabetes mellitus with nephropathy","C10FC00"
"Type 2 diabetes mellitus with hypoglycaemic coma","C10FD00"
"Type II diabetes mellitus with hypoglycaemic coma","C10FD11"
"Type 2 diabetes mellitus with diabetic cataract","C10FE00"
"Type II diabetes mellitus with diabetic cataract","C10FE11"
"Type 2 diabetes mellitus with peripheral angiopathy","C10FF00"
"Type 2 diabetes mellitus with arthropathy","C10FG00"
"Type 2 diabetes mellitus with neuropathic arthropathy","C10FH00"
"Insulin treated Type 2 diabetes mellitus","C10FJ00"
"Insulin treated Type II diabetes mellitus","C10FJ11"
"Hyperosmolar non-ketotic state in type 2 diabetes mellitus","C10FK00"
"Type 2 diabetes mellitus with persistent proteinuria","C10FL00"
"Type II diabetes mellitus with persistent proteinuria","C10FL11"
"Type 2 diabetes mellitus with persistent microalbuminuria","C10FM00"
"Type II diabetes mellitus with persistent microalbuminuria","C10FM11"
"Type 2 diabetes mellitus with ketoacidosis","C10FN00"
"Type 2 diabetes mellitus with ketoacidotic coma","C10FP00"
"Type 2 diabetes mellitus with exudative maculopathy","C10FQ00"
"Type 2 diabetes mellitus with gastroparesis","C10FR00"
"Diabetes mellitus, adult, + other specified manifestation","C10y100"
"Diabetes mellitus, adult onset, + unspecified complication","C10z100"
"Pre-existing diabetes mellitus, non-insulin-dependent","L180600"
"Dietary advice for type II diabetes","ZC2CA00"
"Diabetic lipid lowering diet","13AB.00"
"Diabetic weight reducing diet","13AC.00"
"Diabetic diet","13B1.00"
"Retinal abnormality - diabetes related","2BBF.00"
"O/E - diabetic maculopathy present both eyes","2BBL.00"
"O/E - diabetic maculopathy absent both eyes","2BBM.00"
"O/E - right eye background diabetic retinopathy","2BBP.00"
"O/E - left eye background diabetic retinopathy","2BBQ.00"
"O/E - right eye preproliferative diabetic retinopathy","2BBR.00"
"O/E - left eye preproliferative diabetic retinopathy","2BBS.00"
"O/E - right eye proliferative diabetic retinopathy","2BBT.00"
"O/E - left eye proliferative diabetic retinopathy","2BBV.00"
"O/E - right eye diabetic maculopathy","2BBW.00"
"O/E - left eye diabetic maculopathy","2BBX.00"
"O/E - right eye stable treated prolif diabetic retinopathy","2BBk.00"
"O/E - left eye stable treated prolif diabetic retinopathy","2BBl.00"
"O/E - sight threatening diabetic retinopathy","2BBo.00"
"Foot abnormality - diabetes related","2G51000"
"O/E - Right diabetic foot at risk","2G5A.00"
"O/E - Left diabetic foot at risk","2G5B.00"
"Foot abnormality - diabetes related","2G5C.00"
"O/E - Right diabetic foot at low risk","2G5E.00"
"O/E - Right diabetic foot at moderate risk","2G5F.00"
"O/E - Right diabetic foot at high risk","2G5G.00"
"O/E - Right diabetic foot - ulcerated","2G5H.00"
"O/E - Left diabetic foot at low risk","2G5I.00"
"O/E - Left diabetic foot at moderate risk","2G5J.00"
"O/E - Left diabetic foot at high risk","2G5K.00"
"O/E - Left diabetic foot - ulcerated","2G5L.00"
"O/E - right chronic diabetic foot ulcer","2G5V.00"
"O/E - left chronic diabetic foot ulcer","2G5W.00"
"Diabetic on diet only","66A3.00"
"Diabetic on oral treatment","66A4.00"
"Diabetic on insulin","66A5.00"
"Has seen dietician - diabetes","66A8.00"
"Understands diet - diabetes","66A9.00"
"Injection sites - diabetic","66AA.11"
"Fundoscopy - diabetic check","66AD.00"
"Diabetic drug side effects","66AG.00"
"Diabetic treatment changed","66AH.00"
"Diabetic - good control","66AI.00"
"Diabetic - poor control","66AJ.00"
"Unstable diabetes","66AJ.11"
"Brittle diabetes","66AJ100"
"Diabetic - poor control NOS","66AJz00"
"Diabetic - cooperative patient","66AK.00"
"Diabetic-uncooperative patient","66AL.00"
"Date diabetic treatment start","66AN.00"
"Date diabetic treatment stopp.","66AO.00"
"Diabetes: practice programme","66AP.00"
"Diabetes: shared care programme","66AQ.00"
"Diabetes management plan given","66AR.00"
"Diabetic annual review","66AS.00"
"Annual diabetic blood test","66AT.00"
"Diabetes care by hospital only","66AU.00"
"Diabetic on insulin and oral treatment","66AV.00"
"Diabetic foot risk assessment","66AW.00"
"Diabetes: shared care in pregnancy - diabetol and obstet","66AX.00"
"Diabetic diet - good compliance","66AY.00"
"Diabetic diet - poor compliance","66Aa.00"
"Diabetic foot examination","66Ab.00"
"Diabetic peripheral neuropathy screening","66Ac.00"
"Insulin needles changed daily","66Ag.00"
"Insulin needles changed for each injection","66Ah.00"
"Diabetic 6 month review","66Ai.00"
"Insulin needles changed less than once a day","66Aj.00"
"Insulin dose changed","66Am.00"
"Insulin treatment initiated","66Ap.00"
"Diabetic foot screen","66Aq.00"
"Diabetic pre-pregnancy counselling","6761.00"
"Diabetic retinopathy screening","68A7.00"
"Diabetic retinopathy screening offered","68A9.00"
"Diabetic digital retinopathy screening offered","68AB.00"
"Pan retinal photocoagulation for diabetes","7276.00"
"Continuous subcutaneous infusion of insulin","7L10000"
"Subcutaneous injection of insulin","7L19800"
"Diab mellit insulin-glucose infus acute myocardial infarct","889A.00"
"Diabetic stabilisation","8A13.00"
"Diabetes medication review","8B3l.00"
"Patient on maximal tolerated therapy for diabetes","8BL2.00"
"Pt advised re diabetic diet","8CA4100"
"Advice about blood glucose control","8CAQ.00"
"Transition of diabetes care options discussed","8CP2.00"
"Admit diabetic emergency","8H2J.00"
"Non-urgent diabetic admission","8H3O.00"
"Refer to diabetic foot screener","8H7r.00"
"Diabetic retinopathy 12 month review","8HBG.00"
"Diabetic retinopathy 6 month review","8HBH.00"
"Diabetology D.V. done","8HLE.00"
"Referral for diabetic retinopathy screening","8Hl1.00"
"Diabetic foot examination declined","8I3W.00"
"Diabetic retinopathy screening refused","8I3X.00"
"Insulin therapy declined","8I3k.00"
"Patient held diabetic record declined","8I57.00"
"Patient held diabetic record issued","9360.00"
"Diabetic patient unsuitable for digital retinal photography","9OLD.00"
"Diabetes mellitus","C10..00"
"Diabetes mellitus with no mention of complication","C100.00"
"Diabetes mellitus NOS with no mention of complication","C100z00"
"Diabetes mellitus with ketoacidosis","C101.00"
"Other specified diabetes mellitus with ketoacidosis","C101y00"
"Diabetes mellitus NOS with ketoacidosis","C101z00"
"Diabetes mellitus with hyperosmolar coma","C102.00"
"Diabetes mellitus NOS with hyperosmolar coma","C102z00"
"Diabetes mellitus with ketoacidotic coma","C103.00"
"Other specified diabetes mellitus with coma","C103y00"
"Diabetes mellitus NOS with ketoacidotic coma","C103z00"
"Diabetes mellitus with renal manifestation","C104.00"
"Diabetic nephropathy","C104.11"
"Other specified diabetes mellitus with renal complications","C104y00"
"Diabetes mellitis with nephropathy NOS","C104z00"
"Diabetes mellitus with ophthalmic manifestation","C105.00"
"Other specified diabetes mellitus with ophthalmic complicatn","C105y00"
"Diabetes mellitus NOS with ophthalmic manifestation","C105z00"
"Diabetes mellitus with neurological manifestation","C106.00"
"Diabetic amyotrophy","C106.11"
"Diabetes mellitus with neuropathy","C106.12"
"Diabetes mellitus with polyneuropathy","C106.13"
"Other specified diabetes mellitus with neurological comps","C106y00"
"Diabetes mellitus NOS with neurological manifestation","C106z00"
"Diabetes mellitus with peripheral circulatory disorder","C107.00"
"Diabetes mellitus with gangrene","C107.11"
"Diabetes with gangrene","C107.12"
"Diabetes mellitus NOS with peripheral circulatory disorder","C107z00"
"Other specified diabetes mellitus with multiple comps","C108y00"
"Unspecified diabetes mellitus with multiple complications","C108z00"
"Malnutrition-related diabetes mellitus","C10A.00"
"Malnutrition-related diabetes mellitus with coma","C10A000"
"Malnutrition-related diabetes mellitus with ketoacidosis","C10A100"
"Diabetes mellitus autosomal dominant","C10C.00"
"Lipoatrophic diabetes mellitus","C10M.00"
"Diabetes mellitus with other specified manifestation","C10y.00"
"Other specified diabetes mellitus with other spec comps","C10yy00"
"Diabetes mellitus NOS with other specified manifestation","C10yz00"
"Diabetes mellitus with unspecified complication","C10z.00"
"Other specified diabetes mellitus with unspecified comps","C10zy00"
"Diabetes mellitus NOS with unspecified complication","C10zz00"
"Renal diabetes","C314.11"
"Bronzed diabetes","C350011"
"[X]Diabetes mellitus","Cyu2.00"
"[X]Other specified diabetes mellitus","Cyu2000"
"Autonomic neuropathy due to diabetes","F171100"
"Diabetic mononeuritis multiplex","F345000"
"Diabetic mononeuritis NOS","F35z000"
"Polyneuropathy in diabetes","F372.00"
"Diabetic polyneuropathy","F372.11"
"Diabetic neuropathy","F372.12"
"Acute painful diabetic neuropathy","F372000"
"Chronic painful diabetic neuropathy","F372100"
"Asymptomatic diabetic neuropathy","F372200"
"Myasthenic syndrome due to diabetic amyotrophy","F381300"
"Diabetic amyotrophy","F381311"
"Diabetic mononeuropathy","F3y0.00"
"Diabetic retinopathy","F420.00"
"Background diabetic retinopathy","F420000"
"Proliferative diabetic retinopathy","F420100"
"Preproliferative diabetic retinopathy","F420200"
"Advanced diabetic maculopathy","F420300"
"Diabetic maculopathy","F420400"
"Advanced diabetic retinal disease","F420500"
"Non proliferative diabetic retinopathy","F420600"
"High risk proliferative diabetic retinopathy","F420700"
"High risk non proliferative diabetic retinopathy","F420800"
"Diabetic retinopathy NOS","F420z00"
"Diabetic iritis","F440700"
"Diabetic cataract","F464000"
"Diabetic peripheral angiopathy","G73y000"
"Nephrotic syndrome in diabetes mellitus","K01x100"
"Kimmelstiel - Wilson disease","K01x111"
"Pre-existing diabetes mellitus, unspecified","L180X00"
"Cellulitis in diabetic foot","M037200"
"Ischaemic ulcer diabetic foot","M271000"
"Neuropathic diabetic ulcer - foot","M271100"
"Mixed diabetic ulcer - foot","M271200"
"Diabetic cheiroarthropathy","N030000"
"Diabetic cheiropathy","N030011"
"Diabetic Charcot arthropathy","N030100"
"Neonatal diabetes mellitus","Q441.00"
"[D]Gangrene of toe in diabetic","R054200"
"[D]Widespread diabetic foot gangrene","R054300"
"Adverse reaction to insulins and antidiabetic agents","TJ23.00"
"Adverse reaction to insulins and antidiabetic agents NOS","TJ23z00"
"[X] Adverse reaction to insulins and antidiabetic agents","U602311"
"Dietary advice for diabetes mellitus","ZC2C800"
"[V]Dietary counselling in diabetes mellitus","ZV65312"
